Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","41","China, mainland","68","France","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","68","France","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","68","France","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2008","2008","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","68","France","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2015","2015","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","79","Germany","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2005","2005","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","79","Germany","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2011","2011","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","84","Greece","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2013","2013","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1991","1991","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1994","1994","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1996","1996","1000 US$","5796","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1997","1997","1000 US$","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1998","1998","1000 US$","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1999","1999","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2000","2000","1000 US$","5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2001","2001","1000 US$","2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2003","2003","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2006","2006","1000 US$","20","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2007","2007","1000 US$","20","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2008","2008","1000 US$","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2009","2009","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2011","2011","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2012","2012","1000 US$","57","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2013","2013","1000 US$","10","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2014","2014","1000 US$","21","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","100","India","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2015","2015","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","101","Indonesia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1996","1996","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","101","Indonesia","5622","Import Value","30","Rice - total  (Rice milled equivalent)","2001","2001","1000 US$","9","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","106","Italy","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1989","1989","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","106","Italy","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1990","1990","1000 US$","0","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","106","Italy","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1991","1991","1000 US$","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"TM","Detailed trade matrix","41","China, mainland","106","Italy","5622","Import Value","30","Rice - total  (Rice milled equivalent)","1992","1992","1000 US$","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
